night 20201011 expid 6669 is arc; skipping
night 20201012 expid 6710 is arc; skipping
night 20201012 expid 6711 is arc; skipping
night 20201012 expid 6712 is arc; skipping
night 20201013 expid 6754 is arc; skipping
night 20201013 expid 6755 is arc; skipping
night 20201013 expid 6756 is arc; skipping
night 20201014 expid 6800 is arc; skipping
night 20201014 expid 6801 is arc; skipping
night 20201014 expid 6802 is arc; skipping
night 20201015 expid 6840 is arc; skipping
night 20201015 expid 6841 is arc; skipping
night 20201015 expid 6842 is arc; skipping
night 20201017 expid 6884 is arc; skipping
night 20201017 expid 6885 is arc; skipping
night 20201017 expid 6886 is arc; skipping
night 20201018 expid 6927 is arc; skipping
night 20201018 expid 6928 is arc; skipping
night 20201018 expid 6929 is arc; skipping
night 20201021 expid 6970 is arc; skipping
night 20201021 expid 6971 is arc; skipping
night 20201021 expid 6972 is arc; skipping
night 20201022 expid 7015 is arc; skipping
night 20201022 expid 7016 is arc; skipping
night 20201022 expid 7017 is arc; skipping
night 20201023 expid 7061 is arc; skipping
night 20201023 expid 7062 is arc; skipping
night 20201023 expid 7063 is arc; skipping
night 20201025 expid 7104 is arc; skipping
night 20201025 expid 7105 is arc; skipping
night 20201025 expid 7106 is arc; skipping
night 20201026 expid 7160 is arc; skipping
night 20201026 expid 7161 is arc; skipping
night 20201026 expid 7162 is arc; skipping
night 20201103 expid 7211 is arc; skipping
night 20201103 expid 7212 is arc; skipping
night 20201103 expid 7213 is arc; skipping
night 20201105 expid 7268 is arc; skipping
night 20201105 expid 7269 is arc; skipping
night 20201105 expid 7270 is arc; skipping
night 20201106 expid 7320 is arc; skipping
night 20201106 expid 7321 is arc; skipping
night 20201106 expid 7322 is arc; skipping
night 20201107 expid 7367 is arc; skipping
night 20201107 expid 7368 is arc; skipping
night 20201107 expid 7369 is arc; skipping
night 20201108 expid 7411 is arc; skipping
night 20201108 expid 7412 is arc; skipping
night 20201108 expid 7413 is arc; skipping
night 20201109 expid 7457 is arc; skipping
night 20201109 expid 7458 is arc; skipping
night 20201109 expid 7459 is arc; skipping
night 20201111 expid 7506 is arc; skipping
night 20201111 expid 7507 is arc; skipping
night 20201111 expid 7508 is arc; skipping
night 20201112 expid 7557 is arc; skipping
night 20201112 expid 7558 is arc; skipping
night 20201112 expid 7559 is arc; skipping
night 20201113 expid 7607 is arc; skipping
night 20201113 expid 7608 is arc; skipping
night 20201113 expid 7609 is arc; skipping
night 20201114 expid 7656 is arc; skipping
night 20201114 expid 7657 is arc; skipping
night 20201114 expid 7658 is arc; skipping
night 20201115 expid 7706 is arc; skipping
night 20201115 expid 7707 is arc; skipping
night 20201115 expid 7708 is arc; skipping
night 20201116 expid 7752 is arc; skipping
night 20201116 expid 7753 is arc; skipping
night 20201116 expid 7754 is arc; skipping
night 20201117 expid 7801 is arc; skipping
night 20201117 expid 7802 is arc; skipping
night 20201117 expid 7803 is arc; skipping
night 20201120 expid 7848 is arc; skipping
night 20201120 expid 7849 is arc; skipping
night 20201120 expid 7850 is arc; skipping
night 20201123 expid 7893 is arc; skipping
night 20201123 expid 7894 is arc; skipping
night 20201123 expid 7895 is arc; skipping
night 20201124 expid 7946 is arc; skipping
night 20201124 expid 7947 is arc; skipping
night 20201124 expid 7948 is arc; skipping
night 20201125 expid 7995 is arc; skipping
night 20201125 expid 7996 is arc; skipping
night 20201125 expid 7997 is arc; skipping
night 20201203 expid 8043 is arc; skipping
night 20201203 expid 8044 is arc; skipping
night 20201203 expid 8045 is arc; skipping
night 20201204 expid 8096 is arc; skipping
night 20201204 expid 8097 is arc; skipping
night 20201204 expid 8098 is arc; skipping
night 20201205 expid 8142 is arc; skipping
night 20201205 expid 8143 is arc; skipping
night 20201205 expid 8144 is arc; skipping
night 20201206 expid 8194 is arc; skipping
night 20201206 expid 8195 is arc; skipping
night 20201206 expid 8196 is arc; skipping
night 20201208 expid 8243 is arc; skipping
night 20201208 expid 8244 is arc; skipping
night 20201208 expid 8245 is arc; skipping
night 20201209 expid 8295 is arc; skipping
night 20201209 expid 8296 is arc; skipping
